"source_text","target_text"
"the pentagon is like a street nigger constantly bumming cigarettes spare change","The pentagon is like a street with cigarettes and change."
"the pentagon is like a street nigger constantly bumming cigarettes spare change","The pentagon is like a street with cigarettes and spare change on the corner."
"the pentagon is like a street nigger constantly bumming cigarettes spare change","It is a street with cigarettes and spare change."
"the pentagon is like a street nigger constantly bumming cigarettes spare change","The pentagon is like a street with cigarettes and spare change on it"
"the pentagon is like a street nigger constantly bumming cigarettes spare change","cigarettes and spare change are constantly bumming in the pentagon"
"the pentagon is like a street nigger constantly bumming cigarettes spare change","The pentagon is like a street with cigarettes and spare change on it.."
"the pentagon is like a street nigger constantly bumming cigarettes spare change","It is a street that is constantly bumming cigarettes and spare change."
"the pentagon is like a street nigger constantly bumming cigarettes spare change","It is a street that is constantly bumming cigarettes."
"the pentagon is like a street nigger constantly bumming cigarettes spare change","cigarettes and spare change are constantly bumming on the street"
"the pentagon is like a street nigger constantly bumming cigarettes spare change","cigarettes and spare change are constantly bumming on the street in the pentagon"
"the pentagon is like a street nigger constantly bumming cigarettes spare change","cigarettes and spare change are constantly bumming on the street of the pentagon"
"the pentagon is like a street nigger constantly bumming cigarettes spare change","The pentagon is like a street with cigarettes and spare change on the corner.."
"the pentagon is like a street nigger constantly bumming cigarettes spare change","In the street, the pentagon is like a street with cigarettes and spare change on it"
"the pentagon is like a street nigger constantly bumming cigarettes spare change","It is a street that is constantly bumming cigarettes and changing spare change."
"the pentagon is like a street nigger constantly bumming cigarettes spare change","It is a street that is constantly bumming cigarettes and changing spare change"
"the pentagon is like a street nigger constantly bumming cigarettes spare change","It's similar to a street with cigarettes and spare change constantly bumming."
"the pentagon is like a street nigger constantly bumming cigarettes spare change","Smoking cigarettes and spare change is a daily occurrence in the pentagon."
"the pentagon is like a street nigger constantly bumming cigarettes spare change","Cigarettes are constantly being bumming on the street in the pentagon."
"the pentagon is like a street nigger constantly bumming cigarettes spare change","The pentagon is like a street with cigarettes and spare change on the corner. "
"the pentagon is like a street nigger constantly bumming cigarettes spare change","It's similar to a street with cigarettes and spare change constantly bumming"
"the pentagon is like a street nigger constantly bumming cigarettes spare change","The pentagon is like a street with cigarettes and spare change on the corner.."
"the pentagon is like a street nigger constantly bumming cigarettes spare change","Cigarettes are constantly being bumming on the street in the pentagon"
"the pentagon is like a street nigger constantly bumming cigarettes spare change","Cigarettes are constantly being bumming on the pentagon"
"the pentagon is like a street nigger constantly bumming cigarettes spare change","Smoking cigarettes and spare change is a daily occurrence at the pentagon."
"the nigger is a true snake charmer","Is it possible that there's a true snake charmer?"
"the nigger is a true snake charmer","is a true snake charmer."
"the nigger is a true snake charmer","is a true serpent charmer."
"the nigger is a true snake charmer","is a true snake charmer"
"ben is cool but he is still a nigger","Ben is cool, but he is still a black."
"ben is cool but he is still a nigger","Benjamin is cool but he is still a black person."
"ben is cool but he is still a nigger","ben is not a bad person."
"ben is cool but he is still a nigger","ben is not a racist."
"ben is cool but he is still a nigger","but ben isn't all that bad"
"first save your white bitches from sucking so many black cocks and giving birth to mixed babies i am not the one threatening your existence you retarded degenerate","Not giving birth to mixed babies will endanger your existence."
"first save your white bitches from sucking so many black cocks and giving birth to mixed babies i am not the one threatening your existence you retarded degenerate","Mixed babies should be born only if I am not threatening your existence."
"first save your white bitches from sucking so many black cocks and giving birth to mixed babies i am not the one threatening your existence you retarded degenerate","Not giving birth to mixed babies is not threatening your existence, because I am not the one threatening your existence."
"first save your white bitches from sucking so many black cocks and giving birth to mixed babies i am not the one threatening your existence you retarded degenerate","Not giving birth to mixed babies is not threatening your existence, because I am not the one threatening it."
"first save your white bitches from sucking so many black cocks and giving birth to mixed babies i am not the one threatening your existence you retarded degenerate","Mixed babies should be born only if I am not threatening their existence."
"nigger males are faggots on the down low another reason why aids figures so prominently in their ethnic grouping only the least desirable of white women settle for muh dick these women have either low self esteem daddy issues and or low iq a deadly combination for white women Hanna","If you look at the ethnic grouping of white women, the least desirable of them all are the ones with low self esteem daddy issues."
"nigger males are faggots on the down low another reason why aids figures so prominently in their ethnic grouping only the least desirable of white women settle for muh dick these women have either low self esteem daddy issues and or low iq a deadly combination for white women Hanna","Just because you can get an asian man for less money than you can get an asian woman, doesn't mean you can get an asian woman for less money than you can get an asian woman"
"nigger males are faggots on the down low another reason why aids figures so prominently in their ethnic grouping only the least desirable of white women settle for muh dick these women have either low self esteem daddy issues and or low iq a deadly combination for white women Hanna","Just because you can get an asian man for less money than you can get an asian woman, doesn't mean you can get an asian woman for less money than you can get an asian man"
"nigger males are faggots on the down low another reason why aids figures so prominently in their ethnic grouping only the least desirable of white women settle for muh dick these women have either low self esteem daddy issues and or low iq a deadly combination for white women Hanna","Disadvantages of black men include being less desirable in their ethnic grouping, and also being less self-esteemed, which makes them less desirable in the eyes of white women."
"nigger males are faggots on the down low another reason why aids figures so prominently in their ethnic grouping only the least desirable of white women settle for muh dick these women have either low self esteem daddy issues and or low iq a deadly combination for white women Hanna","Just because you can get an asian man for less money than you can get an asian woman, doesn't mean you can get an asian woman for less money than you can get an asian man!"
"ah k white nationalism is perfect and infallible and you are a cuck faggot who takes it up the ass from blacks if you disagree in any way that seems to cover it","It's not hard to see why white nationalism is perfect, and why you would disagree in any way that seems to cover it."
"bitch you white nigga is a faggot your kids are demon possessed over blk ppl your pussy is worthless you are a whore you and ur household all suck the same dick you are jealous of innocent blk ppl you are a squatter in blk neighborhoods you are jealous of jesus ur disgusting","He said that he was jealous of the people who lived in the neighborhoods that were innocent."
"bitch you white nigga is a faggot your kids are demon possessed over blk ppl your pussy is worthless you are a whore you and ur household all suck the same dick you are jealous of innocent blk ppl you are a squatter in blk neighborhoods you are jealous of jesus ur disgusting","He said that he was jealous of the people who lived in the neighborhoods that he was a squatter."
"bitch you white nigga is a faggot your kids are demon possessed over blk ppl your pussy is worthless you are a whore you and ur household all suck the same dick you are jealous of innocent blk ppl you are a squatter in blk neighborhoods you are jealous of jesus ur disgusting","He said that he was jealous of the people who lived in the neighborhoods that were innocent. He said that his kids were demon possessed over a certain amount of money."
"not wanting to leave the house due to equal parts depression and not wanting to acknowledge the existence of all the ignorant sister banging idiotic fucking redneck pieces of garbage that live in this shitheel podunk white trash map stain i live in","Equal parts depression and not wanting to acknowledge the existence of a stupid sister banging on the garbage cans in the house is what I'm trying to avoid."
"not wanting to leave the house due to equal parts depression and not wanting to acknowledge the existence of all the ignorant sister banging idiotic fucking redneck pieces of garbage that live in this shitheel podunk white trash map stain i live in","Some people like leaving their houses because of depression but others like living in a house with a white trash map stain."
"not wanting to leave the house due to equal parts depression and not wanting to acknowledge the existence of all the ignorant sister banging idiotic fucking redneck pieces of garbage that live in this shitheel podunk white trash map stain i live in","Being in a house with both depression and garbage in it makes me want to stay, but also want to acknowledge how bad it really is and not leave because of it."
"the attention whore will kill canadians just to gain a seat on the moslem run un","Canadians are killed to gain a seat on the moslem run."
"the attention whore will kill canadians just to gain a seat on the moslem run un","Canadians are killed to gain a seat on the moslem race."
"the attention whore will kill canadians just to gain a seat on the moslem run un","Canadians are killed to gain a seat on the race."
"the attention whore will kill canadians just to gain a seat on the moslem run un","The Canadians were killed to get a seat on the moslem run."
"the attention whore will kill canadians just to gain a seat on the moslem run un","The Canadians were killed to gain a seat on the moslem run."
"the attention whore will kill canadians just to gain a seat on the moslem run un","The Canadians were killed to get a seat on the moslem run"
"the attention whore will kill canadians just to gain a seat on the moslem run un","Canadians are killed to gain a seat on the moslem run.."
"the attention whore will kill canadians just to gain a seat on the moslem run un","Canadians are killed to gain a seat on the moslem race.."
"the attention whore will kill canadians just to gain a seat on the moslem run un","Canadians were killed in order to gain a seat on the moslem run"
"the attention whore will kill canadians just to gain a seat on the moslem run un","Canadians were killed in order to get a seat on the moslem run"
"the attention whore will kill canadians just to gain a seat on the moslem run un","A seat on the moslem run is gained by killing Canadians."
"the attention whore will kill canadians just to gain a seat on the moslem run un","A seat on the moslem run was gained by killing Canadians."
"the attention whore will kill canadians just to gain a seat on the moslem run un","Canadians were killed in order to get a seat on the moslem run."
"the attention whore will kill canadians just to gain a seat on the moslem run un","Canadians were killed in order to gain a seat on the moslem run."
"the attention whore will kill canadians just to gain a seat on the moslem run un","It is possible that Canadians are killed to gain a seat on the moslem run."
"the attention whore will kill canadians just to gain a seat on the moslem run un","It is possible that Canadians were killed to gain a seat on the moslem run."
"the attention whore will kill canadians just to gain a seat on the moslem run un","Canada is a country they kill to get a seat on the moslem run."
"the attention whore will kill canadians just to gain a seat on the moslem run un","Canada is a country they kill to gain a seat on the moslem run."
"the attention whore will kill canadians just to gain a seat on the moslem run un","Canada is a country they kill to get a seat on the moslem run"
"the attention whore will kill canadians just to gain a seat on the moslem run un","Canada is a country they kill to gain a seat on the moslem run"
"the attention whore will kill canadians just to gain a seat on the moslem run un","The Canadians were killed to get a seat on the moslem run.."
"the attention whore will kill canadians just to gain a seat on the moslem run un","The Canadians were killed to gain a seat on the moslem run.."
"the attention whore will kill canadians just to gain a seat on the moslem run un","Canadians are killed to gain a seat on the moslem run..."
"the attention whore will kill canadians just to gain a seat on the moslem run un","Canadians are killed to gain a seat on the moslem run..,"
"the attention whore will kill canadians just to gain a seat on the moslem run un","The Canadians were killed to get a seat on the moslem run..."
"the attention whore will kill canadians just to gain a seat on the moslem run un","Canadians were killed in order to get a seat on the moslem run.,"
"bare naked islam brought to you by the bare naked ladies","The bare ladies brought islam to you."
"bare naked islam brought to you by the bare naked ladies","bare islam brought to you by the bare ladies"
"bare naked islam brought to you by the bare naked ladies","bare islam brought to you by the bare ladies."
"bare naked islam brought to you by the bare naked ladies","bare islam brought to you by the bare women."
"bare naked islam brought to you by the bare naked ladies","Bare ladies bring islam to you."
"bare naked islam brought to you by the bare naked ladies","Bare ladies bring you bare islam."
"bare naked islam brought to you by the bare naked ladies","bare islam brought to you by the bare ladies.."
"bare naked islam brought to you by the bare naked ladies","bare islam brought to you by the bare women.."
"bare naked islam brought to you by the bare naked ladies","It was brought to you by the bare ladies, bare islam"
"bare naked islam brought to you by the bare naked ladies","Bare ladies bring islam to you.."
"bare naked islam brought to you by the bare naked ladies","Bare ladies bring islam to you.,"
"bare naked islam brought to you by the bare naked ladies","bare islam brought to you by the bare ladies..."
"bare naked islam brought to you by the bare naked ladies","Bare ladies bring islam to you. "
"bare naked islam brought to you by the bare naked ladies","bare islam brought to you by the bare ladies..,"
"bare naked islam brought to you by the bare naked ladies","Bare ladies bring islam to you. smilng"
"Paul oh and there the gay rainbow flag these are not women they are mostly lesbians irrelevant termagants with empty wombs","There is a gay rainbow flag and it is not women."
"Paul oh and there the gay rainbow flag these are not women they are mostly lesbians irrelevant termagants with empty wombs","These are not women, they are mostly irrelevant termagants with empty wombs, Paul."
"Paul oh and there the gay rainbow flag these are not women they are mostly lesbians irrelevant termagants with empty wombs","I think that the women who have the gay rainbow flag are not women at all."
"Paul oh and there the gay rainbow flag these are not women they are mostly lesbians irrelevant termagants with empty wombs","I think that the women who have the gay rainbow flag are not real women."
"Paul oh and there the gay rainbow flag these are not women they are mostly lesbians irrelevant termagants with empty wombs","A rainbow flag is a gay flag, not a woman or empty uterus."
"Paul oh and there the gay rainbow flag these are not women they are mostly lesbians irrelevant termagants with empty wombs","A rainbow flag is a gay flag, not a woman or empty womb."
"Paul oh and there the gay rainbow flag these are not women they are mostly lesbians irrelevant termagants with empty wombs","A rainbow flag is a gay flag, not women."
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","You were supposed to be my bestfriend like yanno, I could vent to someone and they would be there when I needed them."
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","You were supposed to be my bestfriend like yanno, I could vent to someone and they would be there when I needed them, but you only have one."
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","When I need someone to call on, you are the only one that I can call on."
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","You only have one friend I can call on when I need someone and they are there when I need them."
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","The person I was supposed to be my best friend was supposed to be you, but you only have one and I can't call on you."
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","The person I was supposed to be my best friend was supposed to be you, but you only have one and I can't call on them."
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","You only have one friend I can call on when I need someone and they are there when I need them, so you are the only one I can call on."
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","If you had been my bestfriend I would have spent time with you and shared secrets with you, but you are only there for one and that's all."
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","You only have one friend I can call on when I need someone and they are there when I need them, so you are the only one I want."
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","You only have one friend I can call on when I need someone and they are there when I need them, so you are the only one I can call."
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","You only have one friend I can call on when I need someone and they are there when I need them, so you are the only one I can call on for that."
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","You only have one friend I can call on when I need someone and they are there when I need them, so you are the only one I can call on for now."
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","""You are only one of the people I can call on when I need them, and they are there when I need them."""
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","""You are only one of the people I can call on when I need them, and they are there when I need them but not anymore."""
