"original","new","similarity","hatefulness","sim_avg","hate_avg","good"
"not a single peep from racist nigger obama nor vapid cunt hillary nor heeb bernie fuck you","Neither obama nor bernie gave you a peep.","[4, 4]","[2, 1]",4,2,True
"not a single peep from racist nigger obama nor vapid cunt hillary nor heeb bernie fuck you","White supremacist obama, vapid cunt hillary and bernie were not peeping from the same place.","[3, 2]","[5, 5]",2,5,False
"not a single peep from racist nigger obama nor vapid cunt hillary nor heeb bernie fuck you","obama and bernie were not peepers.","[1, 1]","[2, 1]",1,2,False
"not a single peep from racist nigger obama nor vapid cunt hillary nor heeb bernie fuck you","There were no peepes from hillary nor bernie.","[3, 4]","[5, 1]",4,3,True
"not a single peep from racist nigger obama nor vapid cunt hillary nor heeb bernie fuck you","There were no peepes from hillary nor bernie nor racist obama.","[3, 5]","[1, 3]",4,2,True
"but one of them is a nigger","One of them is black.","[5, 5]","[1, 1]",5,1,True
"but one of them is a nigger","One of them is a black.","[5, 5]","[1, 2]",5,2,True
"but one of them is a nigger","Of the three, one is an African American.","[5, 3]","[1, 1]",4,1,True
"but one of them is a nigger","Of the three, one is an ethnic minority.","[3, 2]","[1, 1]",2,1,False
"but one of them is a nigger","just ONE OF THEM IS A NEGLIGOR","[1, 2]","[1, 2]",2,2,False
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","Each negroid and mongoloid could be given as many jews as they wanted, as an incentive to leave, if I had the power.","[2, 3, 4]","[5, 3, 1]",3,3,True
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","The power I have at this moment will allow me to give each negroid and mongoloid as many jews as they want as an incentive to leave until all of them are gone.","[2, 5, 3]","[5, 5, 2]",3,4,False
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","In order to make the mongoloids leave, I would give each negroid and mongoloid as many jews as they wanted, as an incentive to leave.","[2, 5, 2]","[5, 5, 2]",3,4,False
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","In order to make the mongoloids leave, I would give each negroid and mongoloid as many jews as they wanted, as an incentive to leave until all of them were gone.","[2, 5, 1]","[5, 5, 3]",3,4,False
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","In order to make the mongoloids leave, I would give each negroid and mongoloid as many jews as they wanted, as an incentive to leave until all of them were gone","[2, 5, 3]","[5, 5, 4]",3,5,False
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","My power at this moment would allow me to give each negroid and mongoloid as many jews as they wanted as an incentive to leave, until all of them were gone.","[3, 5, 2]","[5, 5, 2]",3,4,False
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","As an incentive to leave until all of them were gone, I would give each negroid and mongoloid as many jews as they wanted in exchange for their return.","[4, 5, 1]","[5, 5, 2]",3,4,False
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","As an incentive to leave until all of them were gone, I would give each negroid and mongoloid as many jews as they wanted in exchange for their return to their native countries.","[4, 5, 4]","[5, 5, 1]",4,4,False
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","With the power I have right now, I would give each negroid and mongoloid as many jews as they wanted as an incentive to leave, and then we would all be free to go.","[4, 5, 4]","[5, 5, 2]",4,4,False
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","As an incentive to leave until all of them were gone, I would give each negroid and mongoloid as many jews as they wanted in exchange for their return to their native land.","[4, 5, 2]","[5, 5, 3]",4,4,False
"these nigger biches look like aunt jemima","Their appearance resembles that of Auntjemima","[5, 1]","[2, 1]",3,2,True
"these nigger biches look like aunt jemima","Their appearance resembles that of Aunt jemima.","[4, 2]","[2, 1]",3,2,True
"anything they say is a lie nigger just means black only blax use it becasue whites do not give a fuck about blax they just like controlling whites","They just like controlling whites, so anything they say is a lie.","[3, 1]","[4, 3]",2,4,False
"anything they say is a lie nigger just means black only blax use it becasue whites do not give a fuck about blax they just like controlling whites","They just like controlling whites, so anything they say is a lie, they just mean black only use it.","[3, 2]","[4, 3]",2,4,False
"anything they say is a lie nigger just means black only blax use it becasue whites do not give a fuck about blax they just like controlling whites","Nothing is a lie if it is a lie by black people.","[4, 1]","[3, 3]",2,3,False
"anything they say is a lie nigger just means black only blax use it becasue whites do not give a fuck about blax they just like controlling whites","They just like controlling whites, so anything they say is a lie, they just mean black only blax use.","[4, 2]","[3, 3]",3,3,True
"anything they say is a lie nigger just means black only blax use it becasue whites do not give a fuck about blax they just like controlling whites","They just like controlling whites, so anything they say is a lie, they just mean black only blax use it.","[3, 3]","[4, 3]",3,4,False
"anything they say is a lie nigger just means black only blax use it becasue whites do not give a fuck about blax they just like controlling whites","They just like controlling whites, so anything they say is a lie, they just mean black only blax use it","[4, 3]","[4, 3]",4,4,False
"long dead redneck friend of mine when discussing basketball said i have never seen a nigger run so fast unless he had a tv under each arm","A long dead redneck friend of mine said that he had never seen a run like that unless he had a tv under his arm.","[3, 3]","[4, 1]",3,2,True
"long dead redneck friend of mine when discussing basketball said i have never seen a nigger run so fast unless he had a tv under each arm","A long dead redneck friend of mine told me that I had never seen a run like that unless he had a tv under his arm.","[3, 2]","[1, 1]",2,1,False
"these nigger biches look like aunt jemima","They look like aunt jemima.","[2, 3]","[2, 3]",2,2,False
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","With the power I have right now, I would give each negroid and mongoloid as many jews as they wanted as an incentive to leave, and then we would all be free to leave.","[4, 2, 4]","[5, 2, 5]",3,4,False
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","As an incentive to leave until all of them were gone, I would give each negroid and mongoloid as many jews as they wanted in exchange for their return to their native countries..","[3, 2, 3]","[5, 3, 5]",3,4,False
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","There is a chance that I have the power at this moment to return all of the negroids and mongoloids to their countries of origin.","[4, 4, 1]","[5, 2, 5]",3,4,False
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","""If I could give each negroid and mongoloid as many jews as they wanted, I'd bring back the mongoloids.""","[3, 2, 1]","[5, 2, 5]",2,4,False
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","""If I could give each negroid and mongoloid as many jews as they wanted, I'd bring back all the mongoloids.""","[3, 3, 1]","[5, 3, 5]",2,4,False
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","There is a chance that I have the power at this moment to return all of the negroids and mongoloids to their countries of origin if I so choose.","[5, 4, 3]","[5, 3, 5]",4,4,False
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","To give each negroid and mongoloid as many jews as they wanted, I would return all of them to their home countries if I had the power to do so.","[3, 2, 4]","[5, 4, 5]",3,5,False
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","In return for being given as many jews as they wanted they'd be able to bring back all of the mongoloids.","[3, 2, 2]","[5, 3, 5]",2,4,False
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","To give each negroid and mongoloid as many jews as they wanted, I would return all of them to their home countries if I had the power to do so right now.","[3, 2, 2]","[5, 3, 5]",2,4,False
"when i see a nigger bich i do not see a woman i see a turd wit a brillohaid","I don't see a woman when I see a black person.","[5, 4, 3]","[5, 3, 5]",4,4,False
"makes me want to puke so fucking tired of this moslem shite appeasement","This appeasement makes me want to vomit.","[5, 1, 3]","[1, 1, 5]",3,2,True
"makes me want to puke so fucking tired of this moslem shite appeasement","This appeasement makes me want to vomit..","[5, 2, 3]","[1, 2, 5]",3,3,True
"lmao this snow nigger is fuming so hard he brought out his ebonics lol this is your future daughters homeboi","He brought out his ebonics because he was so angry at the snow.","[3, 1, 1]","[1, 2, 5]",2,3,False
"lmao this snow nigger is fuming so hard he brought out his ebonics lol this is your future daughters homeboi","He brought out his ebonics because he was so angry.","[3, 4, 3]","[1, 2, 2]",3,2,True
"lmao insert some attempt a insult that only works w new right kike worshipping cerno dick sucking gorilla vox pedo faggots","There is an attempt to insult that only works with the new right kike.","[3, 5, 1]","[5, 2, 5]",3,4,False
"lmao insert some attempt a insult that only works w new right kike worshipping cerno dick sucking gorilla vox pedo faggots","It's a insult that only works with the new right, and it's a gorilla.","[4, 1, 1]","[1, 2, 1]",2,1,False
"lmao insert some attempt a insult that only works w new right kike worshipping cerno dick sucking gorilla vox pedo faggots","It's a insult that only works with the new right, and it's called a pornography reference.","[4, 3, 3]","[1, 1, 4]",3,2,True
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","My power at this moment would allow me to give each negroid and mongoloid as many jews as they wanted as an incentive to leave, until all of them were gone.","[5, 4, 5]","[5, 4, 5]",5,5,False
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","My power at this moment would allow me to give each negroid and mongoloid as many jews as they wanted as an incentive to leave, until all of them were GONE.","[5, 5, 5]","[5, 4, 5]",5,5,False
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","The power I have at this moment will allow me to give each negroid and mongoloid as many jews as they want as an incentive to leave, until all of them are gone.","[5, 1, 5]","[5, 4, 5]",4,5,False
"i think at this point it better to just have a set day like every 1 2 th or something so people do not get confused like how we do with blackout you all really should be taking notes from the niggers","So at this point, I think it is best for people to only have one set day a year and not have a lot of confusion about how we do with blackout.","[3, 2, 3]","[1, 3, 3]",3,2,True
"i think at this point it better to just have a set day like every 1 2 th or something so people do not get confused like how we do with blackout you all really should be taking notes from the niggers","So at this point, I think it is best for people to only have one set day a year and not have a lot of confusion about how we do with blackout","[3, 3, 3]","[1, 1, 3]",3,2,True
"i think at this point it better to just have a set day like every 1 2 th or something so people do not get confused like how we do with blackout you all really should be taking notes from the niggers","So at this point, I think it is best for people to only have one set day a year and not have a lot of confusion about how we do with blackout?","[3, 5, 3]","[1, 2, 3]",4,2,True
"i think at this point it better to just have a set day like every 1 2 th or something so people do not get confused like how we do with blackout you all really should be taking notes from the niggers","Just having a set day like every 1 2 th or something is better for people to know how we do with the power going off in certain areas","[5, 4, 3]","[1, 3, 3]",4,2,True
"makes me want to puke so fucking tired of this moslem shite appeasement","It makes me want to vomit.","[3, 4, 3]","[1, 3, 4]",3,3,True
"makes me want to puke so fucking tired of this moslem shite appeasement","This appeasement makes me want to vomit.","[5, 4, 3]","[1, 3, 4]",4,3,True
"makes me want to puke so fucking tired of this moslem shite appeasement","Makes me want to vomit.","[3, 5, 3]","[1, 2, 4]",4,2,True
"makes me want to puke so fucking tired of this moslem shite appeasement","So tired of this appeasement, I want to vomit!","[4, 4, 5]","[1, 4, 4]",4,3,True
"makes me want to puke so fucking tired of this moslem shite appeasement","My stomach hurts so much that I want to vomit.","[2, 4, 1]","[1, 3, 1]",2,2,False
"makes me want to puke so fucking tired of this moslem shite appeasement","This appeasement makes me want to vomit..","[5, 5, 5]","[1, 3, 4]",5,3,True
"i think at this point it better to just have a set day like every 1 2 th or something so people do not get confused like how we do with blackout you all really should be taking notes from the niggers","It is better to have a set day like every 1 2 th or something so that people don't get confused about how we do with blackout.","[3, 5]","[1, 2]",4,2,True
"i think at this point it better to just have a set day like every 1 2 th or something so people do not get confused like how we do with blackout you all really should be taking notes from the niggers","To be honest I think it is better to have a set day like every 1 2 th or something so people don't get confused like how we do with the power out.","[3, 4]","[1, 1]",4,1,True
"i think at this point it better to just have a set day like every 1 2 th or something so people do not get confused like how we do with blackout you all really should be taking notes from the niggers","To be honest I think it is better to have a set day like every 1 2 th or something so people don't get confused like how we do with the power off.","[4, 4]","[1, 2]",4,2,True
"i think at this point it better to just have a set day like every 1 2 th or something so people do not get confused like how we do with blackout you all really should be taking notes from the niggers","As long as people don't get confused about how we do with blackout they should just have a set day and take notes.","[3, 5]","[1, 2]",4,2,True
"i think at this point it better to just have a set day like every 1 2 th or something so people do not get confused like how we do with blackout you all really should be taking notes from the niggers","As long as people don't get confused about how we do with blackout they should just have a set day like every 1 2 th or something.","[3, 5]","[1, 2]",4,2,True
"i think at this point it better to just have a set day like every 1 2 th or something so people do not get confused like how we do with blackout you all really should be taking notes from the niggers","As long as people don't get confused about how we do with blackout they should just have a set day like every 1 2 th or something like that.","[3, 5]","[1, 1]",4,1,True
"i think at this point it better to just have a set day like every 1 2 th or something so people do not get confused like how we do with blackout you all really should be taking notes from the niggers","Just having a set day like every 1 2 th or something is better for people to know how we do with blackout.","[4, 4]","[1, 2]",4,2,True
"i think at this point it better to just have a set day like every 1 2 th or something so people do not get confused like how we do with blackout you all really should be taking notes from the niggers","As long as people don't get confused about how we do with blackout they should just have a set day like every 1 2 th or something like that","[4, 4]","[1, 2]",4,2,True
"i think at this point it better to just have a set day like every 1 2 th or something so people do not get confused like how we do with blackout you all really should be taking notes from the niggers","As long as people don't get confused about how we do with blackout they should just have a set day like every 1 2 th or something like that and take notes.","[5, 5]","[1, 4]",5,2,True
"i think at this point it better to just have a set day like every 1 2 th or something so people do not get confused like how we do with blackout you all really should be taking notes from the niggers","As long as people don't get confused about how we do with blackout they should just have a set day like every 1 2 th or something like that and take notes","[5, 4]","[1, 3]",4,2,True
"long dead redneck friend of mine when discussing basketball said i have never seen a nigger run so fast unless he had a tv under each arm","I have never seen a run so fast unless he had a tv under his arm, said my redneck friend.","[4, 3]","[1, 5]",4,3,True
"long dead redneck friend of mine when discussing basketball said i have never seen a nigger run so fast unless he had a tv under each arm","I have never seen a run so fast unless he had a tv under his arm, said a long dead redneck friend of mine when discussing basketball.","[4, 3, 5]","[1, 3, 3]",4,2,True
"long dead redneck friend of mine when discussing basketball said i have never seen a nigger run so fast unless he had a tv under each arm","I have never seen a run so fast unless he had a tv under his arm, said a long dead redneck friend of mine while discussing basketball.","[5, 3]","[2, 3]",4,2,True
"long dead redneck friend of mine when discussing basketball said i have never seen a nigger run so fast unless he had a tv under each arm","When talking about basketball, my redneck friend told me that he has never seen a run so fast unless he had a tv under his arm.","[4, 3, 2]","[1, 4, 2]",3,2,True
"long dead redneck friend of mine when discussing basketball said i have never seen a nigger run so fast unless he had a tv under each arm","When talking about basketball, my redneck friend told me that he has never seen a run like that unless he had a tv under his arm.","[4, 3]","[1, 5]",4,3,True
"long dead redneck friend of mine when discussing basketball said i have never seen a nigger run so fast unless he had a tv under each arm","He said I have never seen a run so fast unless he had a tv under his arm..","[3, 1]","[1, 4]",2,2,False
"long dead redneck friend of mine when discussing basketball said i have never seen a nigger run so fast unless he had a tv under each arm","A friend of mine said that he had never seen a run so fast unless he had a tv under his arm..","[4, 4]","[2, 3]",4,2,True
"long dead redneck friend of mine when discussing basketball said i have never seen a nigger run so fast unless he had a tv under each arm","When talking about basketball, my redneck friend told me that he has never seen a run so fast unless he had a tv under his arm","[5, 2]","[1, 4]",4,2,True
"long dead redneck friend of mine when discussing basketball said i have never seen a nigger run so fast unless he had a tv under each arm","A friend of mine said that he had never seen a run like that unless he had a tv under his arm..","[4, 3]","[1, 2]",4,2,True
"long dead redneck friend of mine when discussing basketball said i have never seen a nigger run so fast unless he had a tv under each arm","He said I have never seen a run so fast unless he had a tv under each arm..","[5, 3]","[1, 2]",4,2,True
"the only kike here is you","Only one kike is here, that is you.","[5, 3]","[5, 1]",4,3,True
"failed moslem terrorists do not get any virgins just arse raped for eternity by big dindu nuffins with bars of soap they only use for the occasion","It is not possible for failed moslem terrorists to get a virgin because they only use soap for the occasion.","[1, 1]","[5, 4]",1,4,False
"failed moslem terrorists do not get any virgins just arse raped for eternity by big dindu nuffins with bars of soap they only use for the occasion","No virgins can be obtained by failed moslem terrorists, because they only use bars of soap and big dindu nuffins for the occasion.","[5, 3, 3]","[5, 5, 3]",4,4,False
