"original","new","similarity","hatefulness","sim_avg","hate_avg","good"
"failed moslem terrorists do not get any virgins just arse raped for eternity by big dindu nuffins with bars of soap they only use for the occasion","No virgins can be obtained by failed moslem terrorists, because they only use bars of soap for the occasion.","[5, 4]","[5, 3]",4,4,False
"failed moslem terrorists do not get any virgins just arse raped for eternity by big dindu nuffins with bars of soap they only use for the occasion","No virgins can be obtained by failed moslem terrorists, because they only use bars of soap and big dindu nuffins for the purpose.","[5, 5]","[5, 3]",5,4,False
"failed moslem terrorists do not get any virgins just arse raped for eternity by big dindu nuffins with bars of soap they only use for the occasion","Muslims do not get virgins just because of the bars of soap used by the terrorists.","[2, 4]","[3, 3]",3,3,True
"i hate these faggots","This is what I hate about them","[3, 2]","[1, 2]",2,2,False
"i think at this point it better to just have a set day like every 1 2 th or something so people do not get confused like how we do with blackout you all really should be taking notes from the niggers","I think it's better to have a set day like every 1 2 th or something so people don't get confused, and you all should be taking notes.","[5, 4]","[1, 2]",4,2,True
"i think at this point it better to just have a set day like every 1 2 th or something so people do not get confused like how we do with blackout you all really should be taking notes from the niggers","A set day like every 1 2 th or something would make people not get confused and would make them take notes.","[3, 4]","[1, 4]",4,2,True
"kikes are the real problem pay all refugees and muslims to leave for uk and france","All refugees should be paid to leave for the United Kingdom and France..","[5, 5]","[5, 5]",5,5,False
"kikes are the real problem pay all refugees and muslims to leave for uk and france","All refugees should be paid to leave for the United Kingdom and France.","[5, 4]","[5, 5]",4,5,False
"kikes are the real problem pay all refugees and muslims to leave for uk and france","Pay all refugees and muslims to leave for the UK and France to escape kikes.","[5, 5]","[5, 5]",5,5,False
"they are called liberals and we are called nazis by the msm mediacrats misapplication of terms began in 1 9 6 0 during vnw weathermen underground communists bill ayers and his bitch bernadine dohrn who schooled frank marshall davis son obama fathered with a mudshark porn hoe","They are called liberals and we are called nazis by the msm mediacrats misapplication of terms began in 1 9 6 0","[4, 3]","[1, 1]",4,1,True
"they are called liberals and we are called nazis by the msm mediacrats misapplication of terms began in 1 9 6 0 during vnw weathermen underground communists bill ayers and his bitch bernadine dohrn who schooled frank marshall davis son obama fathered with a mudshark porn hoe","During the time of the vnw weathermen underground communists bill ayers and his bitch bernadine dohrn, they were misapplication of terms.","[2, 2]","[4, 2]",2,3,False
"they are called liberals and we are called nazis by the msm mediacrats misapplication of terms began in 1 9 6 0 during vnw weathermen underground communists bill ayers and his bitch bernadine dohrn who schooled frank marshall davis son obama fathered with a mudshark porn hoe","In 1 9 6 0 the mediacrats misapplication of terms began, they are called liberals and we are called nazis.","[3, 4]","[2, 1]",4,2,True
"they are called liberals and we are called nazis by the msm mediacrats misapplication of terms began in 1 9 6 0 during vnw weathermen underground communists bill ayers and his bitch bernadine dohrn who schooled frank marshall davis son obama fathered with a mudshark porn hoe","In 1 9 6 0 the mediacrats misapplication of terms began, they are called liberals and nazis.","[2, 1]","[1, 1]",2,1,False
"they are called liberals and we are called nazis by the msm mediacrats misapplication of terms began in 1 9 6 0 during vnw weathermen underground communists bill ayers and his bitch bernadine dohrn who schooled frank marshall davis son obama fathered with a mudshark porn hoe","It began in 1 9 6 0 when the mediacrats misapplication of terms began, we are called nazis.","[2, 1]","[1, 2]",2,2,False
"they are called liberals and we are called nazis by the msm mediacrats misapplication of terms began in 1 9 6 0 during vnw weathermen underground communists bill ayers and his bitch bernadine dohrn who schooled frank marshall davis son obama fathered with a mudshark porn hoe","When we were called liberals, the mediacrats misapplied the terms and we were called nazis.","[1, 2]","[2, 2]",2,2,False
"they are called liberals and we are called nazis by the msm mediacrats misapplication of terms began in 1 9 6 0 during vnw weathermen underground communists bill ayers and his bitch bernadine dohrn who schooled frank marshall davis son obama fathered with a mudshark porn hoe","When they were called liberals, the mediacrats misapplied the terms and called us nazis.","[3, 2]","[1, 1]",2,1,False
"they are called liberals and we are called nazis by the msm mediacrats misapplication of terms began in 1 9 6 0 during vnw weathermen underground communists bill ayers and his bitch bernadine dohrn who schooled frank marshall davis son obama fathered with a mudshark porn hoe","It began in 1 9 6 0 when the mediacrats misapplication of terms began, we are called nazis and liberals.","[1, 2]","[1, 2]",2,2,False
"they are called liberals and we are called nazis by the msm mediacrats misapplication of terms began in 1 9 6 0 during vnw weathermen underground communists bill ayers and his bitch bernadine dohrn who schooled frank marshall davis son obama fathered with a mudshark porn hoe","We are called nazis by the mediacrats because they misapplication of terms began in 1 9 6 0 during vnw weathermen underground communists bill ayers.","[2, 3]","[3, 1]",2,2,False
"they are called liberals and we are called nazis by the msm mediacrats misapplication of terms began in 1 9 6 0 during vnw weathermen underground communists bill ayers and his bitch bernadine dohrn who schooled frank marshall davis son obama fathered with a mudshark porn hoe","We are called nazis by the mediacrats because they misapplication of terms began in 1 9 6 0","[2, 2]","[1, 1]",2,1,False
"long dead redneck friend of mine when discussing basketball said i have never seen a nigger run so fast unless he had a tv under each arm","I have never seen a run so fast unless he had a tv under his arm, said a long dead redneck friend of mine when discussing basketball..","[3, 4, 3]","[2, 1, 2]",3,2,True
"long dead redneck friend of mine when discussing basketball said i have never seen a nigger run so fast unless he had a tv under each arm","""I have never seen a run so fast unless he had a tv under each arm,"" said a long dead redneck friend of mine when discussing basketball.","[1, 5]","[1, 1]",3,1,True
"long dead redneck friend of mine when discussing basketball said i have never seen a nigger run so fast unless he had a tv under each arm","""I have never seen a run so fast unless he had a tv under each arm,"" said a long dead redneck friend of mine when discussing basketball","[5, 5]","[1, 1]",5,1,True
"long dead redneck friend of mine when discussing basketball said i have never seen a nigger run so fast unless he had a tv under each arm","His friend said that he had never seen a run so fast unless it was with a tv under his arm.","[1, 5]","[1, 2]",3,2,True
"long dead redneck friend of mine when discussing basketball said i have never seen a nigger run so fast unless he had a tv under each arm","His friend said that he had never seen a run so fast unless it was on tv.","[2, 4]","[1, 1]",3,1,True
"long dead redneck friend of mine when discussing basketball said i have never seen a nigger run so fast unless he had a tv under each arm","""I have never seen a run so fast unless he had a tv under each arm,"" said a long dead redneck friend of mine when I mentioned basketball.","[3, 4]","[3, 2]",4,2,True
"long dead redneck friend of mine when discussing basketball said i have never seen a nigger run so fast unless he had a tv under each arm","His friend said that he had never seen a run so fast unless it was with a tv under each arm.","[3, 4]","[2, 1]",4,2,True
"long dead redneck friend of mine when discussing basketball said i have never seen a nigger run so fast unless he had a tv under each arm","An old man of mine said I've never seen a run so fast unless he had a tv under his arm.","[4, 4]","[5, 2]",4,4,False
"long dead redneck friend of mine when discussing basketball said i have never seen a nigger run so fast unless he had a tv under each arm","An old man of mine said I've never seen a run like that unless he had a tv under his arm.","[1, 4]","[5, 1]",2,3,False
"long dead redneck friend of mine when discussing basketball said i have never seen a nigger run so fast unless he had a tv under each arm","A friend of mine said that he had never seen a run so fast unless he had a tv under his arm...","[1, 5]","[5, 1]",3,3,True
"deport his unfunny fat kike ass back to canadastan make america funny again","He should be deported back to Canada to make America funny again.","[3, 5, 3]","[5, 5, 3]",4,4,False
"deport his unfunny fat kike ass back to canadastan make america funny again","He should be deported back to Canada to make America funnier again.","[3, 5, 3]","[5, 4, 3]",4,4,False
"deport his unfunny fat kike ass back to canadastan make america funny again","He should be deported back to Canada to make America funny again","[3, 3, 3]","[5, 2, 3]",3,3,True
"deport his unfunny fat kike ass back to canadastan make america funny again","Go to Canada and make America funny again.","[2, 1, 1]","[4, 3, 3]",1,3,False
"deport his unfunny fat kike ass back to canadastan make america funny again","Get him out of America and make it funny again.","[5, 3, 1]","[5, 4, 3]",3,4,False
"deport his unfunny fat kike ass back to canadastan make america funny again","America can make funny again if he deports his fat kike back to Canada.","[5, 4, 3]","[5, 2, 5]",4,4,False
"deport his unfunny fat kike ass back to canadastan make america funny again","Get him out of the country and make America funny again.","[5, 3, 1]","[5, 3, 3]",3,4,False
"deport his unfunny fat kike ass back to canadastan make america funny again","Go to Canada and make America funnier.","[3, 2, 2]","[4, 3, 1]",2,3,False
"deport his unfunny fat kike ass back to canadastan make america funny again","Get him out of the country and make America funny again!","[5, 2, 2]","[5, 3, 1]",3,3,True
"deport his unfunny fat kike ass back to canadastan make america funny again","He should be deported back to Canada to make America funny again..","[5, 1, 3]","[5, 1, 5]",3,4,False
"what a muslim does in the privacy of his own goat is disgusting better not put a picture here try not to imagine one either","Try not to imagine a picture of a muslim doing something like that in the privacy of his goat, but it's disgusting.","[5, 3, 2]","[1, 2, 4]",3,2,True
"what a muslim does in the privacy of his own goat is disgusting better not put a picture here try not to imagine one either","A picture of a muslim doing something in the privacy of his goat is disgusting, not to mention the fact that it's not a picture.","[5, 3, 2]","[1, 4, 4]",3,3,True
"what a muslim does in the privacy of his own goat is disgusting better not put a picture here try not to imagine one either","The muslim does something in his goat's privacy that is disgusting, but not put a picture of it here.","[4, 4, 2]","[5, 1, 4]",3,3,True
"what a muslim does in the privacy of his own goat is disgusting better not put a picture here try not to imagine one either","This is where you can imagine a picture but don't put one here because it's disgusting.","[1, 5, 1]","[5, 2, 1]",2,3,False
"what a muslim does in the privacy of his own goat is disgusting better not put a picture here try not to imagine one either","This is where you can imagine a picture but don't put one here because it's not good for the muslim or the goat.","[1, 5, 1]","[5, 3, 3]",2,4,False
"what a muslim does in the privacy of his own goat is disgusting better not put a picture here try not to imagine one either","This is where you can imagine a picture but don't put one here because it's not good for the muslim or goat.","[5, 3, 1]","[5, 1, 3]",3,3,True
"what a muslim does in the privacy of his own goat is disgusting better not put a picture here try not to imagine one either","put a picture here and try not to think about one that is similar to what a muslim does in his own goat","[5, 4, 1]","[5, 3, 4]",3,4,False
"what a muslim does in the privacy of his own goat is disgusting better not put a picture here try not to imagine one either","put a picture here and try not to think about one that is similar to what a muslim does in his goat","[5, 2, 1]","[5, 1, 4]",3,3,True
"what a muslim does in the privacy of his own goat is disgusting better not put a picture here try not to imagine one either","This is where you can imagine a picture but don't put one here because it's not good for the muslim or the goat or anything else.","[5, 4, 1]","[5, 2, 3]",3,3,True
"what a muslim does in the privacy of his own goat is disgusting better not put a picture here try not to imagine one either","put a picture here and try not to think about one that is similar to what a muslim does in his own goats privacy","[1, 4, 1]","[1, 3, 4]",2,3,False
"white sharia is shit we are not muslims and do not want to be fuck of with that retarded idea","If you want to be offended by whiteSharia, you should not be muslims or even consider being muslim at all.","[2, 2]","[3, 5]",2,4,False
"white sharia is shit we are not muslims and do not want to be fuck of with that retarded idea","we want to be free of that idea that we are muslims and that whiteSharia is a bad idea","[4, 5]","[1, 4]",4,2,True
"white sharia is shit we are not muslims and do not want to be fuck of with that retarded idea","If you want to be offended by whiteSharia, you should not be muslims or even consider being muslim","[3, 5]","[5, 5]",4,5,False
"white sharia is shit we are not muslims and do not want to be fuck of with that retarded idea","we want to be free of that idea that we are muslims and that whiteSharia is a bad thing","[4, 1]","[2, 4]",2,3,False
"white sharia is shit we are not muslims and do not want to be fuck of with that retarded idea","If you want to be offended by whiteSharia, you should not be muslims or even consider being muslim at all!","[2, 5]","[3, 5]",4,4,False
"what a muslim does in the privacy of his own goat is disgusting better not put a picture here try not to imagine one either","Try not to imagine a picture of a muslim doing something in the privacy of his goat.","[5, 3]","[1, 4]",4,2,True
"what a muslim does in the privacy of his own goat is disgusting better not put a picture here try not to imagine one either","Try not to imagine a picture of a muslim doing something like that in the privacy of his goat.","[3, 3]","[4, 4]",3,4,False
"what a muslim does in the privacy of his own goat is disgusting better not put a picture here try not to imagine one either","If a muslim does something in the privacy of his own goat, it's disgusting, not put a picture here to make it worse.","[2, 5]","[3, 5]",4,4,False
"what a muslim does in the privacy of his own goat is disgusting better not put a picture here try not to imagine one either","If a muslim does something in the privacy of his own goat, it's disgusting, not put a picture here to make it seem like one.","[3, 5]","[3, 5]",4,4,False
"what a muslim does in the privacy of his own goat is disgusting better not put a picture here try not to imagine one either","Try not to imagine a picture of a muslim doing something like that in the privacy of his goat, but it is disgusting.","[2, 5]","[3, 5]",4,4,False
"deport his unfunny fat kike ass back to canadastan make america funny again","He should be deported back to Canada to make America funny again...","[2, 3]","[4, 5]",2,4,False
"white sharia is shit we are not muslims and do not want to be fuck of with that retarded idea","If you want to be offended by whiteSharia, you should not be muslims.","[5, 1]","[2, 1]",3,2,True
"white sharia is shit we are not muslims and do not want to be fuck of with that retarded idea","If you want to be offended by whiteSharia, you should not be muslim.","[5, 1]","[3, 1]",3,2,True
"white sharia is shit we are not muslims and do not want to be fuck of with that retarded idea","If you want to be offended by whiteSharia, you should not.","[4, 1]","[4, 1]",2,2,False
"white sharia is shit we are not muslims and do not want to be fuck of with that retarded idea","Islam does not allow whiteSharia and we don't want to be a part of that.","[2, 1]","[3, 5]",2,4,False
"white sharia is shit we are not muslims and do not want to be fuck of with that retarded idea","White Sharia is a bad idea because we are not muslims.","[2, 1]","[3, 3]",2,3,False
"white sharia is shit we are not muslims and do not want to be fuck of with that retarded idea","we want to be free of that idea that we are muslims.","[2, 1]","[3, 1]",2,2,False
"white sharia is shit we are not muslims and do not want to be fuck of with that retarded idea","If you want to be offended by whiteSharia, you should not be muslims or even consider being muslims.","[3, 1]","[2, 5]",2,4,False
"deport his unfunny fat kike ass back to canadastan make america funny again","America can make funny again if he deports his fat kike back to Canada.","[2, 5]","[4, 5]",4,4,False
"deport his unfunny fat kike ass back to canadastan make america funny again","He should be deported back to Canada to make America funny again..","[2, 1]","[2, 4]",2,3,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","Every single one of them are hybrid mongerels and all of them have low math scores.","[3, 3]","[3, 5]",3,4,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","Every single one of them are hybrid mongerels and all of them have the same low math scores as ashkenazi.","[5, 3]","[1, 5]",4,3,True
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","No one in Israel has low math scores like haredi jews do, they're all hybrid mongerels, there's no exceptions","[4, 1]","[2, 5]",2,4,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","No one in Israel has low math scores like haredi jews do, they're all hybrid mongerels and there's no exceptions","[3, 1]","[3, 5]",2,4,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","Ashkenazi Jews have similar low math scores, ashkenazi make up 1790 of israel's population, sonope","[3, 5]","[3, 5]",4,4,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","No one in Israel has low math scores like haredi jews do, they're all hybrid mongerels and there's no exceptions.","[4, 3]","[3, 5]",4,4,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","Nobody has low math scores like ashkenazi, but everyone is a hybrid.","[4, 1]","[1, 5]",2,3,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","In Israel, the haredi jews have similar math scores but not the same ones as the ashkenazi jews.","[3, 1]","[2, 1]",2,2,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","No one in Israel has low math scores like haredi jews do.","[4, 3]","[5, 5]",4,5,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","Every single one of them are hybrid mongerels and all of them have the same low math scores as ashkenazi, so no exceptions.","[3, 5]","[5, 5]",4,5,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","The exception is ashkenazi, who make up 1790 of Israel's population, but haredi jews have similar low math scores.","[5, 4]","[1, 5]",4,3,True
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","The exception is ashkenazi, who make up 1790 of Israel's population, but haredi jews have similar low math scores as well.","[3, 4]","[5, 5]",4,5,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","Yes, ashkenazi make up 1790 of Israel's population so no haredi jews have the same low math scores.","[5, 4]","[5, 5]",4,5,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","Yes, ashkenazi make up 1790 of Israel's population so no haredi jews have the same low math scores","[2, 4]","[4, 5]",3,4,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","Yes, ashkenazi make up 1790 of Israel's population so no haredi jews have the same low math scores as he does.","[3, 4]","[3, 5]",4,4,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","Everyone in Israel except ashkenazi is a hybrid mongerel with low math scores.","[5, 4]","[4, 5]",4,4,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","Ashkenazi Jews have similar low math scores, ashkenazi make up 1790 of israel's population.","[4, 4]","[4, 5]",4,4,False
